From	To	Edits	Jaro-Winkler	Total Distance	Edit list
controverses	covfefe	8	0.768	4.41	delete 'n' at 3, delete 't' at 4, delete 'r' at 5, delete 'o' at 6, replace 'e' at 8 with 'f' (distance 1.41), replace 'r' at 9 with 'e' (distance 1), replace 's' at 10 with 'f' (distance 2), delete 's' at 12, 
controversial	covfefe	10	0.701	16.1	delete 'n' at 3, delete 't' at 4, delete 'r' at 5, delete 'o' at 6, delete 'e' at 8, delete 'r' at 9, replace 's' at 10 with 'f' (distance 2), replace 'i' at 11 with 'e' (distance 5), replace 'a' at 12 with 'f' (distance 3), replace 'l' at 13 with 'e' (distance 6.08), 
controversies	covfefe	9	0.701	6.54	delete 'n' at 3, delete 't' at 4, delete 'r' at 5, delete 'o' at 6, delete 'e' at 8, replace 'r' at 9 with 'f' (distance 1), replace 's' at 10 with 'e' (distance 1.41), replace 'i' at 11 with 'f' (distance 4.12), delete 's' at 13, 
controversion	covfefe	10	0.701	15.7	delete 'n' at 3, delete 't' at 4, delete 'r' at 5, delete 'o' at 6, delete 'e' at 8, delete 'r' at 9, replace 's' at 10 with 'f' (distance 2), replace 'i' at 11 with 'e' (distance 5), replace 'o' at 12 with 'f' (distance 5.1), replace 'n' at 13 with 'e' (distance 3.61), 
controversy	covfefe	8	0.716	7.41	delete 'n' at 3, delete 't' at 4, delete 'r' at 5, delete 'o' at 6, replace 'e' at 8 with 'f' (distance 1.41), replace 'r' at 9 with 'e' (distance 1), replace 's' at 10 with 'f' (distance 2), replace 'y' at 11 with 'e' (distance 3), 
controversy's	covfefe	10	0.701	6.41	delete 'n' at 3, delete 't' at 4, delete 'r' at 5, delete 'o' at 6, delete 'e' at 8, delete 'r' at 9, replace 's' at 10 with 'f' (distance 2), replace 'y' at 11 with 'e' (distance 3), replace ''' at 12 with 'f' (non-letter, distance ignored), replace 's' at 13 with 'e' (distance 1.41), 
controvert	covfefe	7	0.726	9.39	delete 'n' at 3, delete 't' at 4, delete 'r' at 5, replace 'o' at 6 with 'v' (distance 5.39), replace 'v' at 7 with 'f' (distance 1), replace 'r' at 9 with 'f' (distance 1), replace 't' at 10 with 'e' (distance 2), 
controverted	covfefe	8	0.768	3.83	delete 'n' at 3, delete 't' at 4, delete 'r' at 5, delete 'o' at 6, replace 'e' at 8 with 'f' (distance 1.41), replace 'r' at 9 with 'e' (distance 1), replace 't' at 10 with 'f' (distance 1.41), delete 'd' at 12, 
controverter	covfefe	8	0.768	3.83	delete 'n' at 3, delete 't' at 4, delete 'r' at 5, delete 'o' at 6, replace 'e' at 8 with 'f' (distance 1.41), replace 'r' at 9 with 'e' (distance 1), replace 't' at 10 with 'f' (distance 1.41), delete 'r' at 12, 
controverter's	covfefe	10	0.752	2.83	delete 'n' at 3, delete 't' at 4, delete 'r' at 5, delete 'o' at 6, delete 'e' at 8, delete 'r' at 9, replace 't' at 10 with 'f' (distance 1.41), delete 'r' at 12, replace ''' at 13 with 'f' (non-letter, distance ignored), replace 's' at 14 with 'e' (distance 1.41), 
controverters	covfefe	9	0.76	3.83	delete 'n' at 3, delete 't' at 4, delete 'r' at 5, delete 'o' at 6, delete 'e' at 8, delete 'r' at 9, replace 't' at 10 with 'f' (distance 1.41), replace 'r' at 12 with 'f' (distance 1), replace 's' at 13 with 'e' (distance 1.41), 
controverting	covfefe	10	0.701	10.9	delete 'n' at 3, delete 't' at 4, delete 'r' at 5, delete 'o' at 6, delete 'e' at 8, delete 'r' at 9, replace 't' at 10 with 'f' (distance 1.41), replace 'i' at 11 with 'e' (distance 5), replace 'n' at 12 with 'f' (distance 2.24), replace 'g' at 13 with 'e' (distance 2.24), 
controvertist	covfefe	10	0.701	10.4	delete 'n' at 3, delete 't' at 4, delete 'r' at 5, delete 'o' at 6, delete 'e' at 8, delete 'r' at 9, replace 't' at 10 with 'f' (distance 1.41), replace 'i' at 11 with 'e' (distance 5), replace 's' at 12 with 'f' (distance 2), replace 't' at 13 with 'e' (distance 2), 
controverts	covfefe	8	0.716	5.24	delete 'n' at 3, delete 't' at 4, delete 'r' at 5, delete 'o' at 6, replace 'e' at 8 with 'f' (distance 1.41), replace 'r' at 9 with 'e' (distance 1), replace 't' at 10 with 'f' (distance 1.41), replace 's' at 11 with 'e' (distance 1.41), 
contumelies	covfefe	7	0.716	9.96	delete 'n' at 3, delete 't' at 4, replace 'u' at 5 with 'v' (distance 3.61), replace 'm' at 6 with 'f' (distance 2.24), delete 'l' at 8, replace 'i' at 9 with 'f' (distance 4.12), delete 's' at 11, 
conule	covfefe	4	0.714	11.2	insert 'v' at 3, replace 'n' at 3 with 'f' (distance 2.24), replace 'u' at 4 with 'e' (distance 4), replace 'l' at 5 with 'f' (distance 5), 
conure	covfefe	4	0.714	7.24	insert 'v' at 3, replace 'n' at 3 with 'f' (distance 2.24), replace 'u' at 4 with 'e' (distance 4), replace 'r' at 5 with 'f' (distance 1), 
conusee	covfefe	4	0.771	7.99	replace 'n' at 3 with 'v' (distance 2), replace 'u' at 4 with 'f' (distance 3.16), replace 's' at 5 with 'e' (distance 1.41), replace 'e' at 6 with 'f' (distance 1.41), 
conuzee	covfefe	4	0.771	9.4	replace 'n' at 3 with 'v' (distance 2), replace 'u' at 4 with 'f' (distance 3.16), replace 'z' at 5 with 'e' (distance 2.83), replace 'e' at 6 with 'f' (distance 1.41), 
conv	covfefe	5	0.781	4.47	insert 'v' at 3, insert 'f' at 4, insert 'e' at 5, replace 'n' at 3 with 'f' (distance 2.24), replace 'v' at 4 with 'e' (distance 2.24), 
convalesce	covfefe	5	0.79	6.41	delete 'n' at 3, delete 'a' at 5, replace 'l' at 6 with 'f' (distance 5), delete 's' at 8, replace 'c' at 9 with 'f' (distance 1.41), 
convalesced	covfefe	6	0.778	6.41	delete 'n' at 3, delete 'a' at 5, replace 'l' at 6 with 'f' (distance 5), delete 's' at 8, replace 'c' at 9 with 'f' (distance 1.41), delete 'd' at 11, 
convalescence	covfefe	8	0.76	6.41	delete 'n' at 3, delete 'a' at 5, replace 'l' at 6 with 'f' (distance 5), delete 's' at 8, delete 'c' at 9, delete 'e' at 10, delete 'n' at 11, replace 'c' at 12 with 'f' (distance 1.41), 
convalescence's	covfefe	10	0.746	6.41	delete 'n' at 3, delete 'a' at 5, replace 'l' at 6 with 'f' (distance 5), delete 's' at 8, replace 'c' at 9 with 'f' (distance 1.41), delete 'n' at 11, delete 'c' at 12, delete 'e' at 13, delete ''' at 14, delete 's' at 15, 
convalescences	covfefe	9	0.752	6.41	delete 'n' at 3, delete 'a' at 5, replace 'l' at 6 with 'f' (distance 5), delete 's' at 8, replace 'c' at 9 with 'f' (distance 1.41), delete 'n' at 11, delete 'c' at 12, delete 'e' at 13, delete 's' at 14, 
convalescencies	covfefe	10	0.746	6.41	delete 'n' at 3, delete 'a' at 5, replace 'l' at 6 with 'f' (distance 5), delete 's' at 8, replace 'c' at 9 with 'f' (distance 1.41), delete 'n' at 11, delete 'c' at 12, delete 'i' at 13, delete 'e' at 14, delete 's' at 15, 
convalescency	covfefe	8	0.76	6.41	delete 'n' at 3, delete 'a' at 5, replace 'l' at 6 with 'f' (distance 5), delete 's' at 8, replace 'c' at 9 with 'f' (distance 1.41), delete 'n' at 11, delete 'c' at 12, delete 'y' at 13, 
convalescency's	covfefe	10	0.746	6.41	delete 'n' at 3, delete 'a' at 5, replace 'l' at 6 with 'f' (distance 5), delete 's' at 8, replace 'c' at 9 with 'f' (distance 1.41), delete 'n' at 11, delete 'c' at 12, delete 'y' at 13, delete ''' at 14, delete 's' at 15, 
convalescent	covfefe	7	0.768	6.41	delete 'n' at 3, delete 'a' at 5, replace 'l' at 6 with 'f' (distance 5), delete 's' at 8, replace 'c' at 9 with 'f' (distance 1.41), delete 'n' at 11, delete 't' at 12, 
convalescent's	covfefe	9	0.752	6.41	delete 'n' at 3, delete 'a' at 5, replace 'l' at 6 with 'f' (distance 5), delete 's' at 8, replace 'c' at 9 with 'f' (distance 1.41), delete 'n' at 11, delete 't' at 12, delete ''' at 13, delete 's' at 14, 
convalescently	covfefe	9	0.752	6.41	delete 'n' at 3, delete 'a' at 5, replace 'l' at 6 with 'f' (distance 5), delete 's' at 8, replace 'c' at 9 with 'f' (distance 1.41), delete 'n' at 11, delete 't' at 12, delete 'l' at 13, delete 'y' at 14, 
convalescents	covfefe	8	0.76	6.41	delete 'n' at 3, delete 'a' at 5, replace 'l' at 6 with 'f' (distance 5), delete 's' at 8, replace 'c' at 9 with 'f' (distance 1.41), delete 'n' at 11, delete 't' at 12, delete 's' at 13, 
convalesces	covfefe	6	0.778	6.41	delete 'n' at 3, delete 'a' at 5, replace 'l' at 6 with 'f' (distance 5), delete 's' at 8, replace 'c' at 9 with 'f' (distance 1.41), delete 's' at 11, 
convalescing	covfefe	8	0.708	9.47	delete 'n' at 3, delete 'a' at 5, replace 'l' at 6 with 'f' (distance 5), delete 's' at 8, delete 'c' at 9, delete 'i' at 10, replace 'n' at 11 with 'f' (distance 2.24), replace 'g' at 12 with 'e' (distance 2.24), 
convect	covfefe	4	0.771	6.41	replace 'n' at 3 with 'v' (distance 2), replace 'v' at 4 with 'f' (distance 1), replace 'c' at 6 with 'f' (distance 1.41), replace 't' at 7 with 'e' (distance 2), 
convected	covfefe	5	0.805	4.83	delete 'n' at 3, replace 'e' at 5 with 'f' (distance 1.41), replace 'c' at 6 with 'e' (distance 2), replace 't' at 7 with 'f' (distance 1.41), delete 'd' at 9, 
convecting	covfefe	7	0.726	10.9	delete 'n' at 3, delete 'e' at 5, delete 'c' at 6, replace 't' at 7 with 'f' (distance 1.41), replace 'i' at 8 with 'e' (distance 5), replace 'n' at 9 with 'f' (distance 2.24), replace 'g' at 10 with 'e' (distance 2.24), 
convection	covfefe	7	0.726	15.1	delete 'n' at 3, delete 'e' at 5, delete 'c' at 6, replace 't' at 7 with 'f' (distance 1.41), replace 'i' at 8 with 'e' (distance 5), replace 'o' at 9 with 'f' (distance 5.1), replace 'n' at 10 with 'e' (distance 3.61), 
convection's	covfefe	9	0.708	10.1	delete 'n' at 3, delete 'e' at 5, delete 'c' at 6, delete 't' at 7, delete 'i' at 8, replace 'o' at 9 with 'f' (distance 5.1), replace 'n' at 10 with 'e' (distance 3.61), replace ''' at 11 with 'f' (non-letter, distance ignored), replace 's' at 12 with 'e' (distance 1.41), 
convectional	covfefe	9	0.708	17.8	delete 'n' at 3, delete 'e' at 5, delete 'c' at 6, delete 't' at 7, delete 'i' at 8, replace 'o' at 9 with 'f' (distance 5.1), replace 'n' at 10 with 'e' (distance 3.61), replace 'a' at 11 with 'f' (distance 3), replace 'l' at 12 with 'e' (distance 6.08), 
convections	covfefe	8	0.716	13.8	delete 'n' at 3, delete 'e' at 5, delete 'c' at 6, delete 't' at 7, replace 'i' at 8 with 'f' (distance 4.12), replace 'o' at 9 with 'e' (distance 6), replace 'n' at 10 with 'f' (distance 2.24), replace 's' at 11 with 'e' (distance 1.41), 
convective	covfefe	6	0.79	7.41	delete 'n' at 3, delete 'e' at 5, delete 'c' at 6, replace 't' at 7 with 'f' (distance 1.41), replace 'i' at 8 with 'e' (distance 5), replace 'v' at 9 with 'f' (distance 1), 
convectively	covfefe	8	0.768	9	delete 'n' at 3, delete 'e' at 5, delete 'c' at 6, delete 't' at 7, delete 'i' at 8, replace 'v' at 9 with 'f' (distance 1), replace 'l' at 11 with 'f' (distance 5), replace 'y' at 12 with 'e' (distance 3), 
convector	covfefe	6	0.738	9.51	delete 'n' at 3, delete 'e' at 5, replace 'c' at 6 with 'f' (distance 1.41), replace 't' at 7 with 'e' (distance 2), replace 'o' at 8 with 'f' (distance 5.1), replace 'r' at 9 with 'e' (distance 1), 
convector's	covfefe	8	0.716	7.51	delete 'n' at 3, delete 'e' at 5, delete 'c' at 6, delete 't' at 7, replace 'o' at 8 with 'f' (distance 5.1), replace 'r' at 9 with 'e' (distance 1), replace ''' at 10 with 'f' (non-letter, distance ignored), replace 's' at 11 with 'e' (distance 1.41), 
convectors	covfefe	7	0.726	9.83	delete 'n' at 3, delete 'e' at 5, delete 'c' at 6, replace 't' at 7 with 'f' (distance 1.41), replace 'o' at 8 with 'e' (distance 6), replace 'r' at 9 with 'f' (distance 1), replace 's' at 10 with 'e' (distance 1.41), 
convects	covfefe	5	0.752	6.24	delete 'n' at 3, replace 'e' at 5 with 'f' (distance 1.41), replace 'c' at 6 with 'e' (distance 2), replace 't' at 7 with 'f' (distance 1.41), replace 's' at 8 with 'e' (distance 1.41), 
convell	covfefe	4	0.771	14.1	replace 'n' at 3 with 'v' (distance 2), replace 'v' at 4 with 'f' (distance 1), replace 'l' at 6 with 'f' (distance 5), replace 'l' at 7 with 'e' (distance 6.08), 
convenable	covfefe	6	0.79	10.8	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, replace 'a' at 7 with 'f' (distance 3), replace 'b' at 8 with 'e' (distance 2.83), replace 'l' at 9 with 'f' (distance 5), 
convenably	covfefe	7	0.726	13.8	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, replace 'a' at 7 with 'f' (distance 3), replace 'b' at 8 with 'e' (distance 2.83), replace 'l' at 9 with 'f' (distance 5), replace 'y' at 10 with 'e' (distance 3), 
convenance	covfefe	6	0.79	8.02	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, replace 'a' at 7 with 'f' (distance 3), replace 'n' at 8 with 'e' (distance 3.61), replace 'c' at 9 with 'f' (distance 1.41), 
convenance's	covfefe	8	0.768	2.83	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, delete 'a' at 7, delete 'n' at 8, replace 'c' at 9 with 'f' (distance 1.41), replace ''' at 11 with 'f' (non-letter, distance ignored), replace 's' at 12 with 'e' (distance 1.41), 
convenances	covfefe	7	0.778	8.02	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, replace 'a' at 7 with 'f' (distance 3), replace 'n' at 8 with 'e' (distance 3.61), replace 'c' at 9 with 'f' (distance 1.41), delete 's' at 11, 
convene	covfefe	3	0.848	5.24	replace 'n' at 3 with 'v' (distance 2), replace 'v' at 4 with 'f' (distance 1), replace 'n' at 6 with 'f' (distance 2.24), 
convened	covfefe	4	0.824	5.24	replace 'n' at 3 with 'v' (distance 2), replace 'v' at 4 with 'f' (distance 1), replace 'n' at 6 with 'f' (distance 2.24), delete 'd' at 8, 
convenee	covfefe	4	0.824	6.43	delete 'n' at 3, replace 'e' at 5 with 'f' (distance 1.41), replace 'n' at 6 with 'e' (distance 3.61), replace 'e' at 7 with 'f' (distance 1.41), 
convener	covfefe	4	0.824	5.24	replace 'n' at 3 with 'v' (distance 2), replace 'v' at 4 with 'f' (distance 1), replace 'n' at 6 with 'f' (distance 2.24), delete 'r' at 8, 
convener's	covfefe	6	0.79	3.65	delete 'n' at 3, delete 'e' at 5, replace 'n' at 6 with 'f' (distance 2.24), delete 'r' at 8, replace ''' at 9 with 'f' (non-letter, distance ignored), replace 's' at 10 with 'e' (distance 1.41), 
conveneries	covfefe	6	0.778	6.36	delete 'n' at 3, delete 'e' at 5, replace 'n' at 6 with 'f' (distance 2.24), delete 'r' at 8, replace 'i' at 9 with 'f' (distance 4.12), delete 's' at 11, 
conveners	covfefe	5	0.805	4.65	delete 'n' at 3, delete 'e' at 5, replace 'n' at 6 with 'f' (distance 2.24), replace 'r' at 8 with 'f' (distance 1), replace 's' at 9 with 'e' (distance 1.41), 
convenership	covfefe	8	0.768	13.4	delete 'n' at 3, delete 'e' at 5, replace 'n' at 6 with 'f' (distance 2.24), delete 'r' at 8, delete 's' at 9, delete 'h' at 10, replace 'i' at 11 with 'f' (distance 4.12), replace 'p' at 12 with 'e' (distance 7), 
convenery	covfefe	5	0.805	6.24	delete 'n' at 3, delete 'e' at 5, replace 'n' at 6 with 'f' (distance 2.24), replace 'r' at 8 with 'f' (distance 1), replace 'y' at 9 with 'e' (distance 3), 
convenes	covfefe	4	0.824	5.24	replace 'n' at 3 with 'v' (distance 2), replace 'v' at 4 with 'f' (distance 1), replace 'n' at 6 with 'f' (distance 2.24), delete 's' at 8, 
convenience	covfefe	6	0.778	5.54	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, replace 'i' at 7 with 'f' (distance 4.12), delete 'n' at 9, replace 'c' at 10 with 'f' (distance 1.41), 
convenience's	covfefe	8	0.76	5.54	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, replace 'i' at 7 with 'f' (distance 4.12), delete 'n' at 9, replace 'c' at 10 with 'f' (distance 1.41), delete ''' at 12, delete 's' at 13, 
convenienced	covfefe	7	0.768	5.54	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, replace 'i' at 7 with 'f' (distance 4.12), delete 'n' at 9, replace 'c' at 10 with 'f' (distance 1.41), delete 'd' at 12, 
conveniences	covfefe	7	0.768	5.54	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, replace 'i' at 7 with 'f' (distance 4.12), delete 'n' at 9, replace 'c' at 10 with 'f' (distance 1.41), delete 's' at 12, 
conveniencies	covfefe	8	0.76	8.25	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, replace 'i' at 7 with 'f' (distance 4.12), delete 'n' at 9, delete 'c' at 10, replace 'i' at 11 with 'f' (distance 4.12), delete 's' at 13, 
conveniency	covfefe	7	0.778	8.54	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, replace 'i' at 7 with 'f' (distance 4.12), delete 'n' at 9, replace 'c' at 10 with 'f' (distance 1.41), replace 'y' at 11 with 'e' (distance 3), 
conveniency's	covfefe	9	0.76	5.54	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, replace 'i' at 7 with 'f' (distance 4.12), delete 'n' at 9, delete 'c' at 10, delete 'y' at 11, replace ''' at 12 with 'f' (non-letter, distance ignored), replace 's' at 13 with 'e' (distance 1.41), 
conveniens	covfefe	6	0.79	7.77	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, replace 'i' at 7 with 'f' (distance 4.12), replace 'n' at 9 with 'f' (distance 2.24), replace 's' at 10 with 'e' (distance 1.41), 
convenient	covfefe	6	0.79	8.36	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, replace 'i' at 7 with 'f' (distance 4.12), replace 'n' at 9 with 'f' (distance 2.24), replace 't' at 10 with 'e' (distance 2), 
conveniently	covfefe	8	0.768	12.1	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, replace 'i' at 7 with 'f' (distance 4.12), delete 'n' at 9, delete 't' at 10, replace 'l' at 11 with 'f' (distance 5), replace 'y' at 12 with 'e' (distance 3), 
convenientness	covfefe	9	0.752	6.36	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, replace 'i' at 7 with 'f' (distance 4.12), delete 'n' at 9, delete 't' at 10, replace 'n' at 11 with 'f' (distance 2.24), delete 's' at 13, delete 's' at 14, 
convening	covfefe	6	0.738	11.7	delete 'n' at 3, delete 'e' at 5, replace 'n' at 6 with 'f' (distance 2.24), replace 'i' at 7 with 'e' (distance 5), replace 'n' at 8 with 'f' (distance 2.24), replace 'g' at 9 with 'e' (distance 2.24), 
convenor	covfefe	5	0.752	11.1	delete 'n' at 3, replace 'e' at 5 with 'f' (distance 1.41), replace 'n' at 6 with 'e' (distance 3.61), replace 'o' at 7 with 'f' (distance 5.1), replace 'r' at 8 with 'e' (distance 1), 
convenor's	covfefe	7	0.726	7.51	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, replace 'o' at 7 with 'f' (distance 5.1), replace 'r' at 8 with 'e' (distance 1), replace ''' at 9 with 'f' (non-letter, distance ignored), replace 's' at 10 with 'e' (distance 1.41), 
convenors	covfefe	6	0.738	10.7	delete 'n' at 3, delete 'e' at 5, replace 'n' at 6 with 'f' (distance 2.24), replace 'o' at 7 with 'e' (distance 6), replace 'r' at 8 with 'f' (distance 1), replace 's' at 9 with 'e' (distance 1.41), 
convent	covfefe	4	0.771	7.24	replace 'n' at 3 with 'v' (distance 2), replace 'v' at 4 with 'f' (distance 1), replace 'n' at 6 with 'f' (distance 2.24), replace 't' at 7 with 'e' (distance 2), 
convent's	covfefe	6	0.738	5.65	delete 'n' at 3, delete 'e' at 5, replace 'n' at 6 with 'f' (distance 2.24), replace 't' at 7 with 'e' (distance 2), replace ''' at 8 with 'f' (non-letter, distance ignored), replace 's' at 9 with 'e' (distance 1.41), 
convented	covfefe	5	0.805	6.43	delete 'n' at 3, replace 'e' at 5 with 'f' (distance 1.41), replace 'n' at 6 with 'e' (distance 3.61), replace 't' at 7 with 'f' (distance 1.41), delete 'd' at 9, 
conventical	covfefe	8	0.716	15.2	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, delete 't' at 7, replace 'i' at 8 with 'f' (distance 4.12), replace 'c' at 9 with 'e' (distance 2), replace 'a' at 10 with 'f' (distance 3), replace 'l' at 11 with 'e' (distance 6.08), 
conventically	covfefe	10	0.701	17.1	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, delete 't' at 7, delete 'i' at 8, delete 'c' at 9, replace 'a' at 10 with 'f' (distance 3), replace 'l' at 11 with 'e' (distance 6.08), replace 'l' at 12 with 'f' (distance 5), replace 'y' at 13 with 'e' (distance 3), 
conventicle	covfefe	7	0.778	11.1	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, delete 't' at 7, replace 'i' at 8 with 'f' (distance 4.12), replace 'c' at 9 with 'e' (distance 2), replace 'l' at 10 with 'f' (distance 5), 
conventicle's	covfefe	9	0.76	6.41	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, delete 't' at 7, delete 'i' at 8, delete 'c' at 9, replace 'l' at 10 with 'f' (distance 5), replace ''' at 12 with 'f' (non-letter, distance ignored), replace 's' at 13 with 'e' (distance 1.41), 
conventicled	covfefe	8	0.768	11.1	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, delete 't' at 7, replace 'i' at 8 with 'f' (distance 4.12), replace 'c' at 9 with 'e' (distance 2), replace 'l' at 10 with 'f' (distance 5), delete 'd' at 12, 
conventicler	covfefe	8	0.768	11.1	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, delete 't' at 7, replace 'i' at 8 with 'f' (distance 4.12), replace 'c' at 9 with 'e' (distance 2), replace 'l' at 10 with 'f' (distance 5), delete 'r' at 12, 
conventicler's	covfefe	10	0.752	6.41	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, delete 't' at 7, delete 'i' at 8, delete 'c' at 9, replace 'l' at 10 with 'f' (distance 5), delete 'r' at 12, replace ''' at 13 with 'f' (non-letter, distance ignored), replace 's' at 14 with 'e' (distance 1.41), 
conventiclers	covfefe	9	0.76	7.41	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, delete 't' at 7, delete 'i' at 8, delete 'c' at 9, replace 'l' at 10 with 'f' (distance 5), replace 'r' at 12 with 'f' (distance 1), replace 's' at 13 with 'e' (distance 1.41), 
conventicles	covfefe	8	0.768	11.1	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, delete 't' at 7, replace 'i' at 8 with 'f' (distance 4.12), replace 'c' at 9 with 'e' (distance 2), replace 'l' at 10 with 'f' (distance 5), delete 's' at 12, 
conventicling	covfefe	10	0.701	14.5	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, delete 't' at 7, delete 'i' at 8, delete 'c' at 9, replace 'l' at 10 with 'f' (distance 5), replace 'i' at 11 with 'e' (distance 5), replace 'n' at 12 with 'f' (distance 2.24), replace 'g' at 13 with 'e' (distance 2.24), 
conventicular	covfefe	10	0.701	13.2	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, delete 't' at 7, delete 'i' at 8, delete 'c' at 9, replace 'u' at 10 with 'f' (distance 3.16), replace 'l' at 11 with 'e' (distance 6.08), replace 'a' at 12 with 'f' (distance 3), replace 'r' at 13 with 'e' (distance 1), 
conventing	covfefe	7	0.726	10.9	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, replace 't' at 7 with 'f' (distance 1.41), replace 'i' at 8 with 'e' (distance 5), replace 'n' at 9 with 'f' (distance 2.24), replace 'g' at 10 with 'e' (distance 2.24), 
convention	covfefe	7	0.726	15.1	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, replace 't' at 7 with 'f' (distance 1.41), replace 'i' at 8 with 'e' (distance 5), replace 'o' at 9 with 'f' (distance 5.1), replace 'n' at 10 with 'e' (distance 3.61), 
convention's	covfefe	9	0.708	10.1	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, delete 't' at 7, delete 'i' at 8, replace 'o' at 9 with 'f' (distance 5.1), replace 'n' at 10 with 'e' (distance 3.61), replace ''' at 11 with 'f' (non-letter, distance ignored), replace 's' at 12 with 'e' (distance 1.41), 
conventional	covfefe	9	0.708	17.8	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, delete 't' at 7, delete 'i' at 8, replace 'o' at 9 with 'f' (distance 5.1), replace 'n' at 10 with 'e' (distance 3.61), replace 'a' at 11 with 'f' (distance 3), replace 'l' at 12 with 'e' (distance 6.08), 
conventionary	covfefe	10	0.701	8.47	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, delete 't' at 7, delete 'i' at 8, delete 'o' at 9, replace 'n' at 10 with 'f' (distance 2.24), replace 'a' at 11 with 'e' (distance 2.24), replace 'r' at 12 with 'f' (distance 1), replace 'y' at 13 with 'e' (distance 3), 
conventioneer	covfefe	9	0.76	4.65	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, delete 't' at 7, delete 'i' at 8, delete 'o' at 9, replace 'n' at 10 with 'f' (distance 2.24), replace 'e' at 12 with 'f' (distance 1.41), replace 'r' at 13 with 'e' (distance 1), 
conventioneer's	covfefe	11	0.746	3.65	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, delete 't' at 7, delete 'i' at 8, delete 'o' at 9, replace 'n' at 10 with 'f' (distance 2.24), delete 'e' at 12, delete 'r' at 13, replace ''' at 14 with 'f' (non-letter, distance ignored), replace 's' at 15 with 'e' (distance 1.41), 
conventioneers	covfefe	10	0.752	3.83	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, delete 't' at 7, delete 'i' at 8, delete 'o' at 9, delete 'n' at 10, replace 'e' at 11 with 'f' (distance 1.41), replace 'r' at 13 with 'f' (distance 1), replace 's' at 14 with 'e' (distance 1.41), 
conventioner	covfefe	8	0.768	12.4	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, delete 't' at 7, replace 'i' at 8 with 'f' (distance 4.12), replace 'o' at 9 with 'e' (distance 6), replace 'n' at 10 with 'f' (distance 2.24), delete 'r' at 12, 
conventioner's	covfefe	10	0.752	3.65	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, delete 't' at 7, delete 'i' at 8, delete 'o' at 9, replace 'n' at 10 with 'f' (distance 2.24), delete 'r' at 12, replace ''' at 13 with 'f' (non-letter, distance ignored), replace 's' at 14 with 'e' (distance 1.41), 
conventioners	covfefe	9	0.76	4.65	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, delete 't' at 7, delete 'i' at 8, delete 'o' at 9, replace 'n' at 10 with 'f' (distance 2.24), replace 'r' at 12 with 'f' (distance 1), replace 's' at 13 with 'e' (distance 1.41), 
conventionise	covfefe	9	0.701	9.24	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, delete 't' at 7, delete 'i' at 8, delete 'o' at 9, replace 'n' at 10 with 'f' (distance 2.24), replace 'i' at 11 with 'e' (distance 5), replace 's' at 12 with 'f' (distance 2), 
conventionism	covfefe	10	0.701	12.8	delete 'n' at 3, delete 'e' at 5, delete 'n' at 6, delete 't' at 7, delete 'i' at 8, delete 'o' at 9, replace 'n' at 10 with 'f' (distance 2.24), replace 'i' at 11 with 'e' (distance 5), replace 's' at 12 with 'f' (distance 2), replace 'm' at 13 with 'e' (distance 3.61), 
