From	To	Edits	Jaro-Winkler	Total Distance	Edit list
chilhowee	covfefe	7	0.705	10.7	delete 'h' at 2, delete 'i' at 3, replace 'l' at 4 with 'o' (distance 1), replace 'h' at 5 with 'v' (distance 2.24), replace 'o' at 6 with 'f' (distance 5.1), replace 'w' at 7 with 'e' (distance 1), replace 'e' at 8 with 'f' (distance 1.41), 
chiogenes	covfefe	6	0.705	9.62	delete 'h' at 2, replace 'i' at 3 with 'o' (distance 1), replace 'o' at 4 with 'v' (distance 5.39), replace 'g' at 5 with 'f' (distance 1), replace 'n' at 7 with 'f' (distance 2.24), delete 's' at 9, 
chloe	covfefe	5	0.709	13.2	insert 'o' at 2, insert 'v' at 3, replace 'h' at 2 with 'f' (distance 2), replace 'l' at 3 with 'e' (distance 6.08), replace 'o' at 4 with 'f' (distance 5.1), 
chloette	covfefe	5	0.721	14.8	replace 'h' at 2 with 'o' (distance 3.16), replace 'l' at 3 with 'v' (distance 5.1), replace 'o' at 4 with 'f' (distance 5.1), delete 't' at 6, replace 't' at 7 with 'f' (distance 1.41), 
choes	covfefe	5	0.709	8.75	insert 'o' at 2, replace 'h' at 2 with 'v' (distance 2.24), replace 'o' at 3 with 'f' (distance 5.1), insert 'f' at 6, replace 's' at 5 with 'e' (distance 1.41), 
ciboneyes	covfefe	6	0.705	14.3	delete 'i' at 2, replace 'b' at 3 with 'o' (distance 4.47), replace 'o' at 4 with 'v' (distance 5.39), replace 'n' at 5 with 'f' (distance 2.24), replace 'y' at 7 with 'f' (distance 2.24), delete 's' at 9, 
cioffred	covfefe	5	0.742	4.41	delete 'i' at 2, replace 'f' at 4 with 'v' (distance 1), replace 'r' at 6 with 'e' (distance 1), replace 'e' at 7 with 'f' (distance 1.41), replace 'd' at 8 with 'e' (distance 1), 
cioffred's	covfefe	6	0.704	2.41	delete 'i' at 2, replace 'f' at 4 with 'v' (distance 1), delete 'r' at 6, delete 'd' at 8, replace ''' at 9 with 'f' (non-letter, distance ignored), replace 's' at 10 with 'e' (distance 1.41), 
clere	covfefe	4	0.709	6	insert 'o' at 2, insert 'v' at 3, replace 'l' at 2 with 'f' (distance 5), replace 'r' at 4 with 'f' (distance 1), 
clete	covfefe	4	0.709	6.41	insert 'o' at 2, insert 'v' at 3, replace 'l' at 2 with 'f' (distance 5), replace 't' at 4 with 'f' (distance 1.41), 
cleve	covfefe	4	0.736	6	insert 'o' at 2, insert 'v' at 3, replace 'l' at 2 with 'f' (distance 5), replace 'v' at 4 with 'f' (distance 1), 
cliff	covfefe	4	0.709	5.47	replace 'l' at 2 with 'o' (distance 1), replace 'i' at 3 with 'v' (distance 4.47), insert 'e' at 5, insert 'e' at 7, 
clive	covfefe	5	0.709	11	insert 'o' at 2, insert 'v' at 3, replace 'l' at 2 with 'f' (distance 5), replace 'i' at 3 with 'e' (distance 5), replace 'v' at 4 with 'f' (distance 1), 
cliveden	covfefe	5	0.721	7.47	replace 'l' at 2 with 'o' (distance 1), replace 'i' at 3 with 'v' (distance 4.47), replace 'v' at 4 with 'f' (distance 1), replace 'd' at 6 with 'f' (distance 1), delete 'n' at 8, 
cloae	covfefe	5	0.709	14	insert 'o' at 2, insert 'v' at 3, replace 'l' at 2 with 'f' (distance 5), replace 'o' at 3 with 'e' (distance 6), replace 'a' at 4 with 'f' (distance 3), 
